word,frequency
and,6070
the,4723
to,2914
a,2905
i,2654
it,2333
was,2061
of,1645
he,1540
in,1428
you,1242
that,1127
on,877
for,844
but,830
up,828
all,826
out,808
so,792
me,738
we,734
him,726
they,634
says,628
got,621
 i,575
his,554
there,550
no,547
with,536
as,533
them,513
then,485
said,475
see,472
down,464
had,461
she,440
about,413
what,408
at,407
my,405
would,403
when,385
come,380
do,373
by,372
one,369
be,363
well,358
her,353
if,349
didnt,340
get,334
jim,332
time,315
dont,312
or,310
could,303
is,298
went,295
warnt,292
right,291
aint,289
off,284
over,283
good,275
way,268
go,268
like,262
around,261
old,254
just,252
know,251
this,243
de,241
along,235
done,227
en,220
now,217
man,217
couldnt,216
tom,216
back,215
ever,212
because,212
little,203
 he,201
never,192
some,191
your,190
 but,187
more,186
say,184
again,184
two,184
too,181
here,180
how,180
away,179
tell,178
have,178
going,174
nothing,174
made,174
wouldnt,173
took,169
us,167
make,167
take,166
from,165
 and,163
king,160
before,159
nigger,158
want,157
any,157
long,156
 it,154
their,154
let,150
not,148
did,148
duke,148
pretty,147
 so,146
told,145
an,143
 the,142
set,140
river,139
into,138
give,137
thing,137
think,136
after,135
can,135
where,134
put,134
kind,134
been,133
most,132
why,132
till,131
people,125
night,124
reckon,124
look,117
 we,116
things,113
head,113
only,112
place,112
other,112
raft,109
enough,108
every,108
town,107
our,106
 then,103
day,103
another,101
soon,101
 you,100
much,98
last,98
three,97
very,96
first,96
wanted,95
which,95
knowed,94
better,93
always,93
big,93
minute,92
such,92
cant,92
hear,90
something,90
id,89
gone,88
ill,88
run,88
looked,88
 well,87
chapter,86
anything,85
than,85
money,85
huck,84
through,84
trouble,82
next,81
keep,81
dat,81
heard,80
everybody,80
under,80
house,79
mile,78
hed,77
door,75
still,75
 they,75
side,75
laid,75
found,74
reckoned,74
hadnt,74
mind,73
mighty,72
miss,72
hands,72
nobody,72
bed,71
begun,71
anybody,71
yes,70
dead,70
everything,70
water,70
men,69
talk,69
myself,69
 there,69
