word,frequency
the,169
of,137
and,115
to,107
a,86
in,70
i,55
be,51
for,46
that,39
as,39
their,37
will,36
or,34
by,34
have,29
at,28
they,27
this,26
it,26
who,24
which,23
our,22
are,22
my,21
is,21
children,19
would,18
not,16
being,16
them,15
one,15
thousand,15
kingdom,15
so,14
from,13
country,13
upon,13
with,12
no,12
may,11
number,11
an,11
very,10
great,10
therefore,10
his,10
we,10
own,10
all,9
can,9
year,9
child,9
many,9
but,9
make,8
years,8
good,8
hundred,8
most,8
two,8
well,8
parents,8
old,8
there,8
some,8
other,8
those,7
nor,7
little,7
least,7
any,7
shall,7
been,7
these,7
shillings,7
publick,7
on,7
was,7
when,7
more,6
work,6
food,6
think,6
already,6
than,6
only,6
cannot,6
among,6
now,6
pounds,6
he,6
poor,6
four,5
young,5
charge,5
me,5
ever,5
breeders,5
want,5
nation,5
could,5
twenty,5
too,5
neither,5
much,5
proposal,5
if,5
flesh,5
although,5
about,5
infants,5
time,5
having,5
hath,4
per,4
whose,4
under,4
above,4
besides,4
themselves,4
women,4
how,4
first,4
practice,4
after,4
assured,4
put,4
beggars,4
frequent,4
friend,4
able,4
sold,4
whole,4
three,4
might,4
value,4
gentlemen,4
thoughts,4
without,4
like,4
people,4
born,4
into,4
offer,4
annum,4
up,4
us,4
age,4
,3
expence,3
advantage,3
fat,3
every,3
common,3
mothers,3
leave,3
landlords,3
even,3
employ,3
carcass,3
principal,3
let,3
taken,3
making,3
something,3
native,3
six,3
instead,3
such,3
attempt,3
pay,3
indeed,3
through,3
before,3
till,3
thereby,3
day,3
always,3
profit,3
confess,3
million,3
another,3
city,3
part,3
scheme,3
labourers,3
plump,3
get,3
where,3
computed,3
said,3
against,3
present,3
propose,3
persons,3
mother,3
just,3
take,3
wives,3
were,3
desire,3
either,3
because,3
tenants,3
offering,3
made,3
rags,3
money,3
taste,3
am,3
objection,3
utterly,3
secondly,2
livelihood,2
dish,2
certainly,2
calculate,2
ten,2
streets,2
design,2
told,2
degree,2
never,2
others,2
dublin,2
murdering,2
reckoned,2
family,2
doubt,2
females,2
dressing,2
excellent,2
town,2
remain,2
nine,2
learn,2
figure,2
ready,2
times,2
provide,2
fourth,2
pigs,2
grow,2
commodity,2
consequently,2
author,2
rather,2
talk,2
sale,2
greater,2
answer,2
half,2
found,2
girl,2
out,2
entertainment,2
houses,2
advantages,2
honest,2
turn,2
american,2
swine,2
purpose,2
quality,2
long,2
breed,2
serve,2
somewhat,2
males,2
matter,2
manner,2
sell,2
dishes,2
babes,2
wanting,2
towards,2
what,2
eight,2
man,2
salt,2
expedients,2
cheap,2
fifty,2
bring,2
fine,2
find,2
promote,2
proposed,2
humbly,2
should,2
constant,2
hope,2
do,2
kind,2
raiment,2
rest,2
during,2
trade,2
prime,2
exportation,2
seldom,2
papists,2
landlord,2
liable,2
london,2
art,2
fair,2
see,2
cattle,2
subject,2
farmers,2
gentleman,2
state,2
cottagers,2
marriage,2
men,2
tables,2
refinement,2
foreign,2
yearly,2
cloaths,2
throughout,2
come,2
ireland,2
innocent,2
new,2
spirit,2
single,2
thus,2
sustenance,2
perhaps,2
parts,2
several,2
sterling,2
boiled,2
maturely,2
effect,2
person,2
roasted,2
except,2
easy,2
remaining,2
couple,2
fortune,2
annually,2
become,2
twelve,2
alive,2
growth,2
dear,2
home,2
provided,2
