word,frequency
the,5846
and,5036
to,3175
of,3058
you,1906
i,1869
he,1822
a,1812
in,1619
for,1294
his,1277
as,1189
with,1134
it,1122
that,1115
him,1059
was,947
they,928
me,904
my,854
on,850
had,839
all,822
but,808
is,782
have,769
them,759
will,709
not,689
so,665
when,641
her,636
your,636
she,598
who,594
ulysses,580
this,574
then,558
are,556
from,550
one,523
we,522
at,520
by,485
be,483
their,479
said,478
were,472
house,391
about,390
or,388
there,387
do,377
no,347
out,346
which,333
man,331
would,324
up,319
men,318
us,307
if,305
has,303
went,301
what,280
now,277
come,276
go,273
own,272
son,268
did,263
some,261
telemachus,259
tell,259
upon,258
into,257
been,255
can,243
father,242
may,242
home,234
suitors,233
over,230
ship,229
here,218
any,214
see,210
came,209
should,209
shall,207
let,206
down,206
an,201
much,200
am,198
made,198
our,197
could,196
take,195
good,195
back,194
off,188
took,186
jove,185
sea,184
other,182
while,180
people,179
great,179
where,179
gods,174
got,173
way,172
heaven,168
make,167
still,161
again,160
like,160
how,157
after,157
set,155
till,155
answered,153
nor,152
very,151
more,149
old,148
minerva,148
before,148
get,145
long,145
these,143
such,142
hands,142
among,142
away,139
also,138
even,137
both,131
round,130
know,129
give,128
day,128
thus,128
many,127
saw,126
though,125
put,124
once,123
left,122
never,121
another,121
time,119
two,119
therefore,118
against,115
every,113
must,112
wine,111
first,111
brought,109
than,109
water,109
say,108
told,107
might,107
country,105
penelope,104
gave,101
without,101
hand,100
through,100
mother,100
soon,99
yet,99
heard,98
going,97
himself,96
only,93
end,93
too,92
whether,92
ithaca,91
stranger,90
wife,90
spoke,88
head,88
land,87
well,87
those,87
however,87
others,86
return,85
side,85
place,85
nothing,85
began,84
myself,84
town,83
find,83
best,82
daughter,82
god,82
saying,81
bed,81
each,80
king,80
young,78
killed,78
women,78
sent,77
heart,76
ever,76
room,76
done,76
far,76
gone,75
night,75
yourself,75
dead,75
under,74
wind,73
whole,73
ground,73
mind,73
near,73
city,72
most,72
sleep,72
hold,71
eumaeus,71
cannot,71
want,70
matter,70
whom,70
things,69
bring,69
better,69
fell,69
keep,69
ships,69
full,68
having,68
death,68
troy,68
woman,68
sheep,66
think,66
just,66
servants,65
lay,64
eyes,64
being,63
drink,63
speak,63
enough,63
island,63
menelaus,63
reached,63
laid,63
right,62
husband,62
bow,62
alcinous,62
leave,61
achaeans,61
sat,60
live,60
look,60
given,60
sons,60
send,59
poor,59
eat,59
antinous,58
swineherd,58
seat,58
morning,57
hear,57
neptune,56
dear,56
sun,56
whereon,55
towards,55
else,55
stay,55
friends,55
either,55
found,54
fire,54
feet,54
board,53
themselves,53
goddess,53
fair,52
